Monster ID	Monster Code	Monster Name
0	EM100	Anjanath
1	EM002	Rathalos
2	EMS001	Aptonoth
3	EMS049	Jagras
4	EM106	Zorah Magdaros
5	EMS004	Mosswine
6	EMS029	Gajau
7	EM101	Gran Jagras
8	EMS051	Kestodon [M]
9	EM001	Rathian
10	EM001_01	Rathian rosa
11	EM002_01	Rathalos azzurro
12	EM007	Diablos
13	EM007_01	Diablos nera
14	EM011	Kirin
15	EM121_01	Behemoth
16	EM024	Kushala Daora
17	EM026	Lunastra
18	EM027	Teostra
19	EM036	Lavasioth
20	EM043	Deviljho
21	EM044	Barroth
22	EM045	Uragaan
23	EM127_00	Leshen
24	EM102	Pukei-Pukei
25	EM103	Nergigante
26	EM105	Xeno'jiiva
27	EM107	Kulu-Ya-Ku
28	EM107_01	Tzitzi-Ya-Ku
29	EM108	Jyuratodus
30	EM109	Tobi-Kadachi
31	EM110	Paolumu
32	EM111	Legiana
33	EM112	Gran Girros
34	EM113	Odogaron
35	EM114	Radobaan
36	EM115	Vaal Hazak
37	EM116	Dodogama
38	EM117	Kulve Taroth
39	EM118	Bazelgeuse
40	EMS002	Apceros
41	EMS003	Kelbi
42	EMS003_05	Kelbi
43	EMS005	Hornetaur
44	EMS006	Vespoid
45	EMS050	Mernos
46	EMS051_05	Kestodon [F]
47	EMS053	Raphinos
48	EMS054	Shamos
49	EMS055	Barnos
50	EMS056	Girros
51	EM127_01	Leshen antico
52	EMS058	Gastodon
53	EMS059	Noios
54	EMS060_00	Cumulo magmatico
55	EMS060_01	Cumulo magmatico
56	EMS061	Gajalaka
57	EMXXX	Sconosciuto
58	EM001_99	Rathian ???
59	EMS051_99	Kestodon
60	EMS061_02	Tribù dorata
61	EM032_00	Tigrex
62	EM037_00	Nargacuga
63	EM042_00	Barioth
64	EM_TEST_00001	Deviljho selvaggio
65	EM063_00	Brachydios
66	EM080_00	Glavenus
67	EM080_01	Glavenus caustico
68	EM100_01	Anjanath tonante
69	EM102_01	Pukei-Pukei corallino
70	EM103_05	Nergigante razziatore
71	EM109_01	Tobi-Kadachi vipera
72	EM110_01	Paolumu onirico
73	EM111_05	Legiana glaciale
74	EM113_01	Odogaron d'ebano
75	EM115_05	Vaal Hazak funereo
76	EM118_05	Bazelgeuse vulcanico
77	EM122_00	Beotodus
78	EM123_00	Banbaro
79	EM124_00	Velkhana
80	EM125_00	Namielle
81	EM126_00	Shara Ishvalda
82	EMS014_00	Popo
83	EMS016_00	Anteka
84	EMS063_00	Wulg
85	EMS064_00	Cortos
86	EMS061_01	Boaboa
87	DUMMY000014	Unavailable
88	EM001_02	Rathian dorata
89	EM002_02	Rathalos argentato
90	EM018_00	Yian Garuga
91	EM023	Rajang
92	EM023_05	Rajang furioso
93	EM_TEST_00002	Tigrex brutale
94	EM057_00	Zinogre
95	EM057_01	Zinogre stigeo
96	EM063_05	Brachydios rabbioso
97	EM104	Safi'jiiva
98	DUMMY000016	Unavailable
99	EM018_05	Yian Garuga deturpato
100	DUMMY000018	Unavailable
101	DUMMY000020	Unavailable
